id,name,type,calculatedCourse,routeName,created,longitude,latitude,speed,paxLoad,totalCap,outOfService,more,tripId,deviceId,outdated,routeBlockId,timestamp
4874,4192,Transit Bus,105.08125761929057,LX Route,01:32 PM,-74.446826800,40.524467600,,59,67,0,102,,402698,0,111418,2024-10-24 13:32:20
4870,4188,Transit Bus,108.98441198676795,A Route,01:32 PM,-74.451391100,40.502675600,,34,67,0,102,,402699,0,111530,2024-10-24 13:32:20
4891,4209,Transit Bus,78.52970811233092,REXL Route,01:32 PM,-74.438066600,40.525409300,,19,67,0,102,,402707,0,111679,2024-10-24 13:32:20
4895,4212,Transit Bus,284.3593365251716,H Route,01:32 PM,-74.449377000,40.504154000,,19,67,0,101,,402708,0,111640,2024-10-24 13:32:20
4893,4211,Transit Bus,237.32078237428698,REXL Route,01:32 PM,-74.457798800,40.514802000,,27,67,0,102,,402720,0,111676,2024-10-24 13:32:20
4881,4199,Transit Bus,35.80853511643886,A Route,01:32 PM,-74.461883600,40.517157800,,35,67,0,102,,402723,0,111529,2024-10-24 13:32:20
4886,4204,Transit Bus,108.39968988622405,B Route,01:32 PM,-74.459757300,40.524915500,,34,67,0,102,,402727,0,113248,2024-10-24 13:32:20
4885,4203,Transit Bus,48.29980417765137,B Route,01:32 PM,-74.438516100,40.525194000,,20,67,0,12,,402729,0,113245,2024-10-24 13:32:20
4882,4200,Transit Bus,165.7726916985231,EE Route,01:32 PM,-74.439749300,40.495618100,,19,67,0,102,,402733,0,111581,2024-10-24 13:32:20
4872,4190,Transit Bus,38.718042225359,B Route,01:32 PM,-74.465401500,40.523333000,,46,67,0,101,,402741,0,113278,2024-10-24 13:32:20
7181,0205,Transit Bus,306.8999426243398,F Route,01:32 PM,-74.446696300,40.503673600,,65,75,0,102,,405378,0,117893,2024-10-24 13:32:20
7179,0201,Transit Bus,189.385518237307,F Route,01:32 PM,-74.439820800,40.487352500,,30,67,0,101,,405380,0,117892,2024-10-24 13:32:20
4851,4128,Transit Bus,2.6025620430129948,EE Route,01:32 PM,-74.428925500,40.481138500,,22,67,0,101,,405382,0,111602,2024-10-24 13:32:20
7151,0202,Transit Bus,273.9760472954539,EE Route,01:32 PM,-74.448178100,40.503573500,,30,75,0,101,,405404,0,111578,2024-10-24 13:32:20
7180,0204,Transit Bus,344.0546041451652,A Route,01:32 PM,-74.464187500,40.524062500,,49,67,0,101,,406275,0,111531,2024-10-24 13:32:20
4840,1004,Transit Bus,134.39587063637072,LX Route,01:32 PM,-74.448756600,40.500117000,,24,69,0,102,,411187,0,111413,2024-10-24 13:32:20
